,0,1,2
0,0.0,0.01,0.12000000000000001
1,0.0,0.005,0.13
2,0.0,0.0033333333333333335,0.14
3,0.0,0.0025,0.14
4,0.0,0.002,0.14
5,0.0,0.0016666666666666668,0.14
6,0.0,0.0014285714285714286,0.14
7,0.0,0.00125,0.14
8,0.0,0.0011111111111111111,0.14
9,0.0,0.001,0.15000000000000002
10,0.25,0.01,0.18
11,0.25,0.005,0.18
12,0.25,0.0033333333333333335,0.18
13,0.25,0.0025,0.18
14,0.25,0.002,0.18
15,0.25,0.0016666666666666668,0.18
16,0.25,0.0014285714285714286,0.16999999999999998
17,0.25,0.00125,0.18
18,0.25,0.0011111111111111111,0.18
19,0.25,0.001,0.18
20,0.5,0.01,0.24
21,0.5,0.005,0.24
22,0.5,0.0033333333333333335,0.25
23,0.5,0.0025,0.25
24,0.5,0.002,0.24
25,0.5,0.0016666666666666668,0.24
26,0.5,0.0014285714285714286,0.22
27,0.5,0.00125,0.22999999999999998
28,0.5,0.0011111111111111111,0.21
29,0.5,0.001,0.22
30,1.0,0.01,0.16
31,1.0,0.005,0.16
32,1.0,0.0033333333333333335,0.16
33,1.0,0.0025,0.13
34,1.0,0.002,0.14
35,1.0,0.0016666666666666668,0.13
36,1.0,0.0014285714285714286,0.14
37,1.0,0.00125,0.13
38,1.0,0.0011111111111111111,0.13
39,1.0,0.001,0.13
