,0,1,2
0,True,0.01,0.5
1,True,0.005,0.44
2,True,0.0033333333333333335,0.46
3,True,0.0025,0.48
4,True,0.002,0.44
5,True,0.0016666666666666668,0.46
6,True,0.0014285714285714286,0.48
7,True,0.00125,0.46
8,True,0.0011111111111111111,0.5
9,True,0.001,0.46
10,False,0.01,0.38
11,False,0.005,0.44
12,False,0.0033333333333333335,0.48
13,False,0.0025,0.48
14,False,0.002,0.48
15,False,0.0016666666666666668,0.5
16,False,0.0014285714285714286,0.5
17,False,0.00125,0.5
18,False,0.0011111111111111111,0.48
19,False,0.001,0.46
