,0,1,2
0,0.0,0.05,10.0
1,0.0,0.025,17.5
2,0.0,0.016666666666666666,27.3
3,0.0,0.0125,36.2
4,0.0,0.01,41.4
5,0.0,0.008333333333333333,47.9
6,0.0,0.0071428571428571435,54.2
7,0.0,0.00625,57.8
8,0.0,0.005555555555555556,60.7
9,0.0,0.005,63.7
10,0.25,0.05,6.3
11,0.25,0.025,14.6
12,0.25,0.016666666666666666,21.6
13,0.25,0.0125,27.7
14,0.25,0.01,32.6
15,0.25,0.008333333333333333,37.0
16,0.25,0.0071428571428571435,40.7
17,0.25,0.00625,44.1
18,0.25,0.005555555555555556,48.0
19,0.25,0.005,50.3
20,0.5,0.05,5.1
21,0.5,0.025,14.9
22,0.5,0.016666666666666666,23.3
23,0.5,0.0125,32.3
24,0.5,0.01,38.6
25,0.5,0.008333333333333333,44.4
26,0.5,0.0071428571428571435,50.0
27,0.5,0.00625,52.8
28,0.5,0.005555555555555556,56.0
29,0.5,0.005,61.3
30,1.0,0.05,9.1
31,1.0,0.025,24.9
32,1.0,0.016666666666666666,42.4
33,1.0,0.0125,57.1
34,1.0,0.01,68.4
35,1.0,0.008333333333333333,78.9
36,1.0,0.0071428571428571435,89.6
37,1.0,0.00625,98.9
38,1.0,0.005555555555555556,106.7
39,1.0,0.005,114.3
