,0,1,2
0,0.0,0.05,5.7
1,0.0,0.025,11.35
2,0.0,0.016666666666666666,14.9
3,0.0,0.0125,20.7
4,0.0,0.01,28.15
5,0.0,0.008333333333333333,33.2
6,0.0,0.0071428571428571435,37.65
7,0.0,0.00625,46.05
8,0.0,0.005555555555555556,49.7
9,0.0,0.005,54.9
10,0.25,0.05,3.95
11,0.25,0.025,9.1
12,0.25,0.016666666666666666,12.35
13,0.25,0.0125,18.85
14,0.25,0.01,22.7
15,0.25,0.008333333333333333,28.1
16,0.25,0.0071428571428571435,32.6
17,0.25,0.00625,35.4
18,0.25,0.005555555555555556,41.1
19,0.25,0.005,44.3
20,0.5,0.05,2.7
21,0.5,0.025,6.05
22,0.5,0.016666666666666666,11.4
23,0.5,0.0125,17.45
24,0.5,0.01,21.2
25,0.5,0.008333333333333333,25.8
26,0.5,0.0071428571428571435,28.35
27,0.5,0.00625,34.85
28,0.5,0.005555555555555556,38.05
29,0.5,0.005,41.6
30,1.0,0.05,4.2
31,1.0,0.025,9.1
32,1.0,0.016666666666666666,14.25
33,1.0,0.0125,21.75
34,1.0,0.01,28.45
35,1.0,0.008333333333333333,38.1
36,1.0,0.0071428571428571435,43.45
37,1.0,0.00625,50.6
38,1.0,0.005555555555555556,55.15
39,1.0,0.005,61.95
