,0,1,2
0,0.0,0.05,0.2
1,0.0,0.025,0.22
2,0.0,0.016666666666666666,0.22
3,0.0,0.0125,0.26
4,0.0,0.01,0.24
5,0.0,0.008333333333333333,0.24
6,0.0,0.0071428571428571435,0.24
7,0.0,0.00625,0.24
8,0.0,0.005555555555555556,0.24
9,0.0,0.005,0.24
10,0.25,0.05,0.32
11,0.25,0.025,0.3
12,0.25,0.016666666666666666,0.32
13,0.25,0.0125,0.32
14,0.25,0.01,0.32
15,0.25,0.008333333333333333,0.32
16,0.25,0.0071428571428571435,0.32
17,0.25,0.00625,0.32
18,0.25,0.005555555555555556,0.32
19,0.25,0.005,0.32
20,0.5,0.05,0.44
21,0.5,0.025,0.34
22,0.5,0.016666666666666666,0.36
23,0.5,0.0125,0.34
24,0.5,0.01,0.34
25,0.5,0.008333333333333333,0.32
26,0.5,0.0071428571428571435,0.3
27,0.5,0.00625,0.32
28,0.5,0.005555555555555556,0.32
29,0.5,0.005,0.28
30,1.0,0.05,0.26
31,1.0,0.025,0.18
32,1.0,0.016666666666666666,0.18
33,1.0,0.0125,0.18
34,1.0,0.01,0.18
35,1.0,0.008333333333333333,0.16
36,1.0,0.0071428571428571435,0.16
37,1.0,0.00625,0.16
38,1.0,0.005555555555555556,0.16
39,1.0,0.005,0.16
