,0,1,2
0,0.0,0.05,0.22
1,0.0,0.025,0.16
2,0.0,0.016666666666666666,0.16
3,0.0,0.0125,0.12
4,0.0,0.01,0.14
5,0.0,0.008333333333333333,0.14
6,0.0,0.0071428571428571435,0.16
7,0.0,0.00625,0.16
8,0.0,0.005555555555555556,0.16
9,0.0,0.005,0.16
10,0.25,0.05,0.34
11,0.25,0.025,0.36
12,0.25,0.016666666666666666,0.2
13,0.25,0.0125,0.18
14,0.25,0.01,0.18
15,0.25,0.008333333333333333,0.2
16,0.25,0.0071428571428571435,0.2
17,0.25,0.00625,0.2
18,0.25,0.005555555555555556,0.24
19,0.25,0.005,0.2
20,0.5,0.05,0.36
21,0.5,0.025,0.36
22,0.5,0.016666666666666666,0.34
23,0.5,0.0125,0.2
24,0.5,0.01,0.24
25,0.5,0.008333333333333333,0.26
26,0.5,0.0071428571428571435,0.22
27,0.5,0.00625,0.22
28,0.5,0.005555555555555556,0.26
29,0.5,0.005,0.22
30,1.0,0.05,0.36
31,1.0,0.025,0.36
32,1.0,0.016666666666666666,0.22
33,1.0,0.0125,0.14
34,1.0,0.01,0.14
35,1.0,0.008333333333333333,0.14
36,1.0,0.0071428571428571435,0.14
37,1.0,0.00625,0.16
38,1.0,0.005555555555555556,0.12
39,1.0,0.005,0.12
