,0,1,2
0,0.0,0.05,0.14
1,0.0,0.025,0.12
2,0.0,0.016666666666666666,0.12
3,0.0,0.0125,0.12
4,0.0,0.01,0.12
5,0.0,0.008333333333333333,0.12
6,0.0,0.0071428571428571435,0.12
7,0.0,0.00625,0.12
8,0.0,0.005555555555555556,0.12
9,0.0,0.005,0.14
10,0.25,0.05,0.28
11,0.25,0.025,0.2
12,0.25,0.016666666666666666,0.16
13,0.25,0.0125,0.14
14,0.25,0.01,0.16
15,0.25,0.008333333333333333,0.16
16,0.25,0.0071428571428571435,0.16
17,0.25,0.00625,0.16
18,0.25,0.005555555555555556,0.18
19,0.25,0.005,0.18
20,0.5,0.05,0.36
21,0.5,0.025,0.36
22,0.5,0.016666666666666666,0.22
23,0.5,0.0125,0.22
24,0.5,0.01,0.2
25,0.5,0.008333333333333333,0.22
26,0.5,0.0071428571428571435,0.2
27,0.5,0.00625,0.22
28,0.5,0.005555555555555556,0.2
29,0.5,0.005,0.18
30,1.0,0.05,0.34
31,1.0,0.025,0.22
32,1.0,0.016666666666666666,0.18
33,1.0,0.0125,0.14
34,1.0,0.01,0.14
35,1.0,0.008333333333333333,0.14
36,1.0,0.0071428571428571435,0.12
37,1.0,0.00625,0.12
38,1.0,0.005555555555555556,0.12
39,1.0,0.005,0.12
