,0,1,2
0,True,0.01,19.75
1,True,0.005,44.8
2,True,0.0033333333333333335,58.35
3,True,0.0025,65.15
4,True,0.002,76.5
5,True,0.0016666666666666668,83.6
6,True,0.0014285714285714286,90.75
7,True,0.00125,97.6
8,True,0.0011111111111111111,105.05
9,True,0.001,112.35
10,False,0.01,12.5
11,False,0.005,16.9
12,False,0.0033333333333333335,20.75
13,False,0.0025,23.9
14,False,0.002,26.8
15,False,0.0016666666666666668,28.0
16,False,0.0014285714285714286,29.75
17,False,0.00125,30.4
18,False,0.0011111111111111111,31.0
19,False,0.001,31.25
