,0,1,2
0,True,0.01,0.36
1,True,0.005,0.48
2,True,0.0033333333333333335,0.44
3,True,0.0025,0.38
4,True,0.002,0.38
5,True,0.0016666666666666668,0.32
6,True,0.0014285714285714286,0.32
7,True,0.00125,0.3
8,True,0.0011111111111111111,0.3
9,True,0.001,0.3
10,False,0.01,0.32
11,False,0.005,0.34
12,False,0.0033333333333333335,0.4
13,False,0.0025,0.4
14,False,0.002,0.4
15,False,0.0016666666666666668,0.38
16,False,0.0014285714285714286,0.38
17,False,0.00125,0.36
18,False,0.0011111111111111111,0.36
19,False,0.001,0.4
