,0,1,2
0,0.0,0.01,20.7
1,0.0,0.005,43.8
2,0.0,0.0033333333333333335,63.8
3,0.0,0.0025,78.3
4,0.0,0.002,87.9
5,0.0,0.0016666666666666668,96.8
6,0.0,0.0014285714285714286,99.8
7,0.0,0.00125,108.9
8,0.0,0.0011111111111111111,116.9
9,0.0,0.001,119.6
10,0.25,0.01,16.3
11,0.25,0.005,36.0
12,0.25,0.0033333333333333335,46.9
13,0.25,0.0025,60.5
14,0.25,0.002,67.1
15,0.25,0.0016666666666666668,73.1
16,0.25,0.0014285714285714286,80.5
17,0.25,0.00125,87.3
18,0.25,0.0011111111111111111,89.3
19,0.25,0.001,90.9
20,0.5,0.01,8.5
21,0.5,0.005,19.1
22,0.5,0.0033333333333333335,24.9
23,0.5,0.0025,29.0
24,0.5,0.002,39.3
25,0.5,0.0016666666666666668,43.3
26,0.5,0.0014285714285714286,52.3
27,0.5,0.00125,54.3
28,0.5,0.0011111111111111111,57.0
29,0.5,0.001,63.0
30,1.0,0.01,13.5
31,1.0,0.005,27.4
32,1.0,0.0033333333333333335,41.3
33,1.0,0.0025,50.8
34,1.0,0.002,59.5
35,1.0,0.0016666666666666668,66.2
36,1.0,0.0014285714285714286,73.7
37,1.0,0.00125,80.8
38,1.0,0.0011111111111111111,82.6
39,1.0,0.001,91.4
